YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
2010, 07, 18, 6.044, +150.660, 7.3, MW
2017, 01, 10, +4.463, +122.575, 7.3, Mww
1998, 01, 04, 22.231, +170.909, 7.3, mw
1985, 07, 29, +36.208, +70.901, 7.3, mw
2008, 04, 09, 20.038, +168.907, 7.3, MW
1987, 02, 08, 6.068, +147.653, 7.3, mw
1991, 04, 22, +9.696, 83.075, 7.3, mw
2018, 08, 21, +10.779, 62.907, 7.3, Mww
2009, 01, 15, +46.833, +155.246, 7.3, MW
1997, 05, 10, +33.878, +59.823, 7.3, mw
2010, 08, 10, 17.535, +168.038, 7.3, MW
2010, 07, 23, +6.711, +123.488, 7.3, MW
1985, 07, 03, 4.444, +152.815, 7.3, mw
1986, 11, 14, +23.955, +121.765, 7.3, mw
2010, 05, 09, +3.733, +96.028, 7.3, MW
2002, 11, 17, +47.771, +145.994, 7.3, MW
1992, 05, 17, +7.207, +126.796, 7.3, mw
2012, 08, 27, +12.132, 88.660, 7.3, MW
2011, 09, 15, 21.593, 179.324, 7.3, MW
2011, 03, 09, +38.441, +142.980, 7.3, MW
2003, 09, 25, +41.684, +143.598, 7.3, MW
2018, 12, 20, +55.100, +164.699, 7.3, mww
2008, 11, 24, +54.220, +154.293, 7.3, MW
2002, 03, 03, +36.496, +70.517, 7.3, MW
2017, 11, 12, +34.905, +45.956, 7.3, Mww
2004, 07, 25, 2.493, +103.975, 7.3, MW
1996, 08, 05, 20.720, 178.291, 7.3, mw
2003, 09, 27, +50.009, +87.779, 7.3, MW
1999, 02, 06, 12.891, +166.681, 7.3, Mw
1981, 10, 25, +18.184, 102.012, 7.3, mw
2013, 07, 15, 61.053, 25.227, 7.3, MW
2013, 07, 07, 4.013, +153.928, 7.3, MW
2008, 11, 16, +1.352, +122.163, 7.3, MW
1983, 11, 24, 7.468, +128.200, 7.3, mw
1984, 03, 05, +8.167, +123.774, 7.3, mw
2016, 08, 12, 22.478, +173.111, 7.2, mww
2012, 01, 10, +2.431, +93.208, 7.2, MW
2012, 09, 30, +1.908, 76.372, 7.2, MW
2015, 12, 07, +38.211, +72.780, 7.2, mww
1990, 04, 05, +15.142, +147.593, 7.2, mw
1987, 08, 08, 19.036, 70.006, 7.2, mw
1990, 07, 27, 15.396, +167.425, 7.2, mw
2004, 12, 26, +6.846, +92.932, 7.2, MW
2007, 10, 31, +18.958, +145.380, 7.2, MW
2000, 01, 08, 16.855, 174.203, 7.2, Mw
2005, 08, 16, +38.201, +142.114, 7.2, MW
1990, 05, 12, +49.050, +141.880, 7.2, mw
1995, 08, 16, 5.789, +154.299, 7.2, mw
1993, 09, 10, +14.738, 92.688, 7.2, mw
2015, 05, 12, +27.801, +86.126, 7.2, MW
1992, 10, 18, +7.145, 76.841, 7.2, mw
2005, 07, 24, +7.907, +92.146, 7.2, MW
2010, 05, 27, 13.673, +166.672, 7.2, MW
2000, 05, 12, 23.779, 66.740, 7.2, Mw
2003, 01, 20, 10.530, +160.806, 7.2, MW
1999, 10, 16, +34.578, 116.442, 7.2, Mw
2010, 04, 04, +32.276, 115.263, 7.2, MW
1999, 11, 12, +40.806, +31.187, 7.2, Mw
2009, 01, 03, 0.709, +133.312, 7.2, MW
2004, 09, 05, +33.071, +136.735, 7.2, MW
2002, 11, 02, +2.979, +96.115, 7.2, MW
2013, 04, 19, +46.072, +150.924, 7.2, MW
2006, 01, 02, 19.974, 178.110, 7.2, MW
2011, 01, 18, +28.683, +63.995, 7.2, MW
1990, 05, 20, +5.071, +32.159, 7.2, mw
1984, 01, 01, +33.620, +136.803, 7.2, mw
2007, 09, 02, 11.589, +165.821, 7.2, Mw
1988, 08, 10, 10.323, +160.858, 7.2, mw
1987, 11, 17, +58.818, 143.246, 7.2, mw
1995, 07, 03, 29.349, 177.553, 7.2, mw
1992, 06, 28, +34.248, 116.478, 7.2, mw
1992, 07, 11, 22.505, 178.393, 7.2, mw
2002, 01, 02, 17.668, +167.853, 7.2, MW
2018, 02, 16, +16.389, 97.979, 7.2, mww
1996, 04, 16, 24.248, 177.000, 7.2, mw
2016, 05, 28, 56.241, 26.935, 7.2, mww
2003, 08, 21, 45.087, +167.089, 7.2, MW
1996, 04, 29, 6.543, +155.035, 7.2, Mw
1988, 02, 24, +13.450, +124.629, 7.2, mw
2016, 01, 30, +54.006, +158.513, 7.2, mww
1997, 01, 11, +18.173, 102.834, 7.2, mw
2008, 02, 25, 2.489, +99.920, 7.2, MW
2005, 06, 15, +41.447, 125.585, 7.2, MW
1992, 05, 15, 6.087, +147.572, 7.2, mw
2007, 08, 01, 15.675, +167.699, 7.2, Mw
2004, 11, 15, +4.742, 77.470, 7.2, MW
1982, 01, 11, +13.854, +124.320, 7.2, mw
1991, 10, 14, 9.111, +158.470, 7.2, mw
1996, 06, 10, +51.401, 176.846, 7.2, mw
1986, 10, 30, 21.655, 176.638, 7.2, mw
2012, 12, 07, +37.820, +144.159, 7.2, MW
2007, 12, 19, +51.398, 179.537, 7.2, MW
1985, 05, 10, 5.587, +151.071, 7.2, mw
2004, 07, 15, 17.704, 178.767, 7.1, MW
1991, 12, 27, 55.962, 25.189, 7.1, mw
2014, 04, 11, 6.606, +155.033, 7.1, MW
2018, 12, 11, 58.598, 26.466, 7.1, mww
2018, 08, 29, 22.066, +170.050, 7.1, mww
2008, 04, 12, 55.591, +158.542, 7.1, MW
1991, 11, 19, +4.598, 77.414, 7.1, mw
2008, 03, 20, +35.549, +81.506, 7.1, MW
2010, 01, 03, 8.879, +157.417, 7.1, MW
2015, 02, 13, +52.510, 32.021, 7.1, MW
2002, 03, 31, +24.270, +122.184, 7.1, MW
1994, 07, 13, 16.637, +167.481, 7.1, mw
2012, 12, 10, 6.497, +129.868, 7.1, MW
2011, 04, 07, +38.251, +141.730, 7.1, MW
1998, 08, 20, +28.933, +139.357, 7.1, mw
1990, 03, 05, 18.305, +168.089, 7.1, mw
2015, 10, 20, 14.860, +167.303, 7.1, mww
2009, 08, 09, +33.147, +138.059, 7.1, MW
2009, 02, 11, +3.775, +126.499, 7.1, MW
2012, 03, 25, 35.203, 72.127, 7.1, MW
1999, 05, 16, 4.730, +152.501, 7.1, Mw
2016, 08, 29, 0.047, 17.829, 7.1, mww
2001, 08, 21, 36.801, 179.723, 7.1, MW
1994, 10, 09, +43.891, +147.951, 7.1, mw
1984, 03, 24, +44.044, +148.121, 7.1, mw
1993, 03, 06, 10.938, +164.189, 7.1, mw
1995, 10, 21, +16.833, 93.532, 7.1, mw
1992, 10, 11, 19.262, +168.912, 7.1, mw
1995, 08, 23, +18.809, +145.227, 7.1, mw
2019, 11, 14, +1.620, +126.414, 7.1, Mww
1999, 04, 08, +43.609, +130.413, 7.1, Mw
1992, 04, 25, +40.364, 124.050, 7.1, mw
2014, 11, 01, 19.802, 177.833, 7.1, MW
2004, 11, 22, 46.496, +164.827, 7.1, MW
1982, 01, 03, 0.916, 21.838, 7.1, mw
2019, 05, 06, 6.973, +146.451, 7.1, mww
2011, 12, 14, 7.528, +146.814, 7.1, MW
1995, 04, 21, +12.072, +125.581, 7.1, mw
1981, 07, 28, +29.988, +57.770, 7.1, mw
1981, 07, 06, 22.294, +171.645, 7.1, mw
1991, 06, 23, 26.752, 63.304, 7.1, mw
2001, 12, 12, 42.785, +124.682, 7.1, MW
1993, 06, 08, +51.182, +157.816, 7.1, mw
1992, 12, 20, 6.568, +130.427, 7.1, mw
2004, 11, 26, 3.654, +135.410, 7.1, MW
1990, 11, 06, +53.450, +169.829, 7.1, mw
2018, 01, 14, 15.759, 74.710, 7.1, mww
1999, 05, 10, 5.181, +150.895, 7.1, Mw
2001, 06, 03, 29.681, 178.615, 7.1, MW
1997, 10, 28, 4.351, 76.675, 7.1, mw
2015, 12, 04, 47.617, +85.091, 7.1, mww
2005, 02, 05, +5.290, +123.436, 7.1, MW
1998, 03, 29, 17.659, 178.990, 7.1, mw
1992, 05, 17, +7.301, +126.750, 7.1, mw
1995, 05, 27, +52.604, +142.851, 7.1, mw
2005, 03, 02, 6.566, +129.880, 7.1, MW
