YEAR, MONTH, DTEMPC
1898, 09, -0.528
1898, 10, -0.650
1898, 11, -0.509
1898, 12, -0.517
1899, 01, -0.427
1899, 02, -0.344
1899, 03, -0.315
1899, 04, -0.435
1899, 05, -0.375
1899, 06, -0.392
1899, 07, -0.470
1899, 08, -0.238
1899, 09, -0.283
1899, 10, -0.411
1899, 11, -0.264
1899, 12, -0.359
1900, 01, -0.204
1900, 02, 0.017
1900, 03, -0.361
1900, 04, -0.340
1900, 05, -0.402
1900, 06, -0.361
1900, 07, -0.288
1900, 08, -0.372
1900, 09, -0.375
1900, 10, -0.429
1900, 11, -0.327
1900, 12, -0.333
1901, 01, -0.256
1901, 02, -0.321
1901, 03, -0.416
1901, 04, -0.402
1901, 05, -0.294
1901, 06, -0.351
1901, 07, -0.480
1901, 08, -0.422
1901, 09, -0.435
1901, 10, -0.447
1901, 11, -0.525
1901, 12, -0.402
1902, 01, -0.432
1902, 02, -0.315
1902, 03, -0.385
1902, 04, -0.368
1902, 05, -0.385
1902, 06, -0.469
1902, 07, -0.383
1902, 08, -0.519
1902, 09, -0.431
1902, 10, -0.609
1902, 11, -0.546
1902, 12, -0.414
1903, 01, -0.493
1903, 02, -0.365
1903, 03, -0.468
1903, 04, -0.547
1903, 05, -0.496
1903, 06, -0.607
1903, 07, -0.518
1903, 08, -0.634
1903, 09, -0.595
1903, 10, -0.761
1903, 11, -0.609
1903, 12, -0.630
1904, 01, -0.618
1904, 02, -0.599
1904, 03, -0.606
1904, 04, -0.519
1904, 05, -0.596
1904, 06, -0.543
1904, 07, -0.527
1904, 08, -0.515
1904, 09, -0.490
1904, 10, -0.642
1904, 11, -0.543
1904, 12, -0.466
1905, 01, -0.405
1905, 02, -0.532
1905, 03, -0.364
1905, 04, -0.461
1905, 05, -0.399
1905, 06, -0.419
1905, 07, -0.473
1905, 08, -0.383
1905, 09, -0.493
1905, 10, -0.443
1905, 11, -0.400
1905, 12, -0.268
1906, 01, -0.106
1906, 02, -0.114
