YEAR, MONTH, DTEMPC
1917, 04, -0.471
1917, 05, -0.700
1917, 06, -0.301
1917, 07, -0.281
1917, 08, -0.204
1917, 09, -0.153
1917, 10, -0.431
1917, 11, -0.205
1917, 12, -0.832
1918, 01, -0.492
1918, 02, -0.442
1918, 03, -0.421
1918, 04, -0.475
1918, 05, -0.491
1918, 06, -0.435
1918, 07, -0.341
1918, 08, -0.289
1918, 09, -0.255
1918, 10, -0.010
1918, 11, -0.250
1918, 12, -0.370
1919, 01, -0.201
1919, 02, -0.302
1919, 03, -0.526
1919, 04, -0.189
1919, 05, -0.508
1919, 06, -0.317
1919, 07, -0.262
1919, 08, -0.285
1919, 09, -0.153
1919, 10, -0.263
1919, 11, -0.654
1919, 12, -0.679
1920, 01, -0.213
1920, 02, -0.363
1920, 03, -0.106
1920, 04, -0.336
1920, 05, -0.161
1920, 06, -0.257
1920, 07, -0.167
1920, 08, -0.256
1920, 09, -0.255
1920, 10, -0.324
1920, 11, -0.468
1920, 12, -0.466
1921, 01, 0.079
1921, 02, -0.133
1921, 03, -0.124
1921, 04, -0.016
1921, 05, -0.155
1921, 06, -0.029
1921, 07, -0.031
1921, 08, -0.169
1921, 09, -0.149
1921, 10, -0.080
1921, 11, -0.393
1921, 12, -0.050
1922, 01, -0.373
1922, 02, -0.384
1922, 03, -0.192
1922, 04, -0.199
1922, 05, -0.136
1922, 06, -0.181
1922, 07, -0.233
1922, 08, -0.247
1922, 09, -0.225
1922, 10, -0.318
1922, 11, -0.228
1922, 12, -0.247
1923, 01, -0.089
1923, 02, -0.597
1923, 03, -0.526
1923, 04, -0.559
1923, 05, -0.302
1923, 06, -0.246
1923, 07, -0.207
1923, 08, -0.302
1923, 09, -0.147
1923, 10, -0.043
1923, 11, 0.148
1923, 12, 0.080
1924, 01, -0.330
1924, 02, -0.235
1924, 03, -0.283
1924, 04, -0.257
1924, 05, -0.166
1924, 06, -0.117
1924, 07, -0.149
1924, 08, -0.194
1924, 09, -0.141
1924, 10, -0.167
1924, 11, -0.164
1924, 12, -0.502
1925, 01, -0.233
1925, 02, -0.223
1925, 03, -0.214
1925, 04, -0.161
1925, 05, -0.119
1925, 06, -0.206
1925, 07, -0.097
1925, 08, -0.051
1925, 09, 0.043
1925, 10, -0.220
1925, 11, -0.026
1925, 12, 0.082
1926, 01, 0.325
1926, 02, 0.193
1926, 03, -0.008
1926, 04, -0.216
1926, 05, -0.157
1926, 06, -0.067
1926, 07, -0.131
1926, 08, -0.002
1926, 09, 0.044
1926, 10, 0.035
1926, 11, 0.057
1926, 12, -0.212
1927, 01, -0.199
1927, 02, -0.099
1927, 03, -0.325
1927, 04, -0.220
1927, 05, -0.174
1927, 06, -0.107
1927, 07, -0.030
1927, 08, 0.011
1927, 09, 0.023
1927, 10, 0.216
1927, 11, -0.025
1927, 12, -0.448
1928, 01, 0.162
1928, 02, -0.027
1928, 03, -0.367
1928, 04, -0.333
1928, 05, -0.136
1928, 06, -0.302
1928, 07, -0.073
1928, 08, -0.174
1928, 09, -0.119
1928, 10, -0.093
1928, 11, -0.112
1928, 12, -0.147
1929, 01, -0.623
1929, 02, -0.965
1929, 03, -0.370
1929, 04, -0.399
1929, 05, -0.246
1929, 06, -0.304
1929, 07, -0.238
1929, 08, -0.027
1929, 09, -0.119
1929, 10, 0.009
1929, 11, -0.017
1929, 12, -0.546
1930, 01, -0.227
1930, 02, -0.105
1930, 03, -0.039
1930, 04, -0.101
1930, 05, -0.185
1930, 06, -0.143
1930, 07, 0.017
1930, 08, 0.189
1930, 09, 0.092
1930, 10, 0.071
1930, 11, 0.237
1930, 12, 0.031
1931, 01, 0.099
1931, 02, -0.274
1931, 03, -0.125
1931, 04, -0.145
1931, 05, -0.053
1931, 06, 0.148
1931, 07, 0.128
1931, 08, 0.175
1931, 09, 0.164
1931, 10, 0.214
1931, 11, 0.047
1931, 12, 0.018
1932, 01, 0.381
1932, 02, -0.285
1932, 03, -0.435
1932, 04, -0.007
1932, 05, -0.103
1932, 06, -0.084
1932, 07, -0.065
1932, 08, 0.051
1932, 09, 0.117
1932, 10, 0.014
1932, 11, -0.263
1932, 12, -0.165
1933, 01, -0.347
1933, 02, -0.443
1933, 03, -0.404
1933, 04, -0.174
1933, 05, -0.205
1933, 06, -0.228
1933, 07, 0.025
1933, 08, -0.066
1933, 09, -0.152
1933, 10, -0.123
1933, 11, -0.238
1933, 12, -0.541
1934, 01, -0.152
1934, 02, 0.158
1934, 03, -0.425
1934, 04, -0.260
1934, 05, 0.056
1934, 06, -0.003
1934, 07, 0.010
1934, 08, -0.001
1934, 09, -0.079
1934, 10, 0.047
1934, 11, 0.192
1934, 12, 0.019
1935, 01, -0.300
1935, 02, 0.491
1935, 03, -0.131
1935, 04, -0.284
1935, 05, -0.249
1935, 06, -0.123
1935, 07, -0.027
1935, 08, 0.030
1935, 09, -0.061
1935, 10, 0.110
1935, 11, -0.416
1935, 12, -0.221
1936, 01, -0.298
1936, 02, -0.570
1936, 03, -0.243
1936, 04, -0.122
1936, 05, -0.006
1936, 06, 0.070
1936, 07, 0.152
1936, 08, 0.128
1936, 09, 0.119
1936, 10, 0.002
1936, 11, 0.018
1936, 12, 0.171
1937, 01, -0.126
1937, 02, 0.147
1937, 03, -0.374
1937, 04, -0.111
1937, 05, 0.066
1937, 06, 0.151
1937, 07, 0.223
1937, 08, 0.244
1937, 09, 0.335
1937, 10, 0.320
1937, 11, 0.110
1937, 12, -0.111
1938, 01, 0.191
1938, 02, 0.202
1938, 03, 0.217
1938, 04, 0.258
1938, 05, -0.018
1938, 06, -0.065
1938, 07, 0.062
1938, 08, 0.208
1938, 09, 0.217
1938, 10, 0.233
1938, 11, 0.164
1938, 12, -0.392
